"full_date","product_name","brand","avg_price","min_price","max_price"
"2025-11-25","iPhone 17 Pro Max 2TB","Apple","63990000.000000","63990000.00","63990000.00"
"2025-11-25","iPhone 17 Pro Max 1TB","Apple","50990000.000000","50990000.00","50990000.00"
"2025-11-25","iPhone 17 Pro 1TB","Apple","47590000.000000","47590000.00","47590000.00"
"2025-11-25","Samsung Galaxy Z Fold7 12GB","Samsung","44990000.000000","44990000.00","44990000.00"
"2025-11-25","iPhone 17 Pro Max 512GB","Apple","44490000.000000","44490000.00","44490000.00"
"2025-11-25","OPPO FIND N5","Oppo","44180000.000000","44180000.00","44180000.00"
"2025-11-25","HONOR Magic V5 16GB","Other","42990000.000000","42990000.00","42990000.00"
"2025-11-25","iPhone 16 Pro Max 1TB","Apple","42990000.000000","42990000.00","42990000.00"
"2025-11-25","iPhone Air 1TB","Apple","41490000.000000","41490000.00","41490000.00"
"2025-11-25","Samsung Galaxy Z Fold7 12GB","Samsung","40990000.000000","40990000.00","40990000.00"
"2025-11-25","iPhone 17 Pro 512GB","Apple","40990000.000000","40990000.00","40990000.00"
"2025-11-25","iPhone 17 Pro Max 256GB","Apple","37990000.000000","37990000.00","37990000.00"
"2025-11-25","iPhone 16 Pro Max 512GB","Apple","36890000.000000","36890000.00","36890000.00"
"2025-11-25","iPhone Air 512GB","Apple","35990000.000000","35990000.00","35990000.00"
"2025-11-25","iPhone 14 Pro Max 512GB","Apple","35390000.000000","35390000.00","35390000.00"
"2025-11-25","Samsung Galaxy Z Fold6 12GB","Samsung","34900000.000000","34900000.00","34900000.00"
"2025-11-25","iPhone 17 Pro 256GB","Apple","34790000.000000","34790000.00","34790000.00"
"2025-11-25","iPhone 16 Pro 512GB","Apple","34690000.000000","34690000.00","34690000.00"
"2025-11-25","OPPO Find X9 Pro 16GB","Oppo","32990000.000000","32990000.00","32990000.00"
"2025-11-25","iPhone 15 Pro Max 1TB","Apple","31990000.000000","31990000.00","31990000.00"
"2025-11-25","iPhone 17 512GB","Apple","31490000.000000","31490000.00","31490000.00"
"2025-11-25","Samsung Galaxy Z Fold 6 12GB","Samsung","31490000.000000","31490000.00","31490000.00"
"2025-11-25","Xiaomi 15 Ultra 5G 16GB","Xiaomi","30990000.000000","30990000.00","30990000.00"
"2025-11-25","iPhone Air 256GB","Apple","30890000.000000","30890000.00","30890000.00"
"2025-11-25","Điện thoại iPhone 16 Pro Max 256GB","Apple","30590000.000000","30590000.00","30590000.00"
"2025-11-25","Sony Xperia 1 VII 12GB","Sony","29990000.000000","29990000.00","29990000.00"
"2025-11-25","iPhone 16 Plus 512GB","Apple","29490000.000000","29490000.00","29490000.00"
"2025-11-25","Samsung Galaxy S25 Ultra 512GB","Samsung","29350000.000000","29350000.00","29350000.00"
"2025-11-25","Samsung Galaxy Z Flip7 12GB","Samsung","28990000.000000","28990000.00","28990000.00"
"2025-11-25","iPhone 16 Pro 256GB","Apple","28590000.000000","28590000.00","28590000.00"
"2025-11-25","iPhone 15 Pro Max 512GB","Apple","28490000.000000","28490000.00","28490000.00"
"2025-11-25","iPhone 14 Pro Max 256GB","Apple","27990000.000000","27990000.00","27990000.00"
"2025-11-25","iPhone 16 Plus 256GB","Apple","27890000.000000","27890000.00","27890000.00"
"2025-11-25","Xiaomi 15 Ultra 5G 16GB","Xiaomi","27790000.000000","27790000.00","27790000.00"
"2025-11-25","Samsung Galaxy S25 Ultra 12GB","Samsung","27780000.000000","27780000.00","27780000.00"
"2025-11-25","OPPO Find X9 16GB","Oppo","26990000.000000","26990000.00","26990000.00"
"2025-11-25","OPPO Find N3 16GB","Oppo","26990000.000000","26990000.00","26990000.00"
"2025-11-25","iPhone 15 Pro 256GB","Apple","26290000.000000","26290000.00","26290000.00"
"2025-11-25","iPhone 13 Pro Max 512GB I","Apple","25990000.000000","25990000.00","25990000.00"
"2025-11-25","iPhone 15 Pro Max 256GB","Apple","25990000.000000","25990000.00","25990000.00"
"2025-11-25","iPhone 14 Pro Max 128GB","Apple","25590000.000000","25590000.00","25590000.00"
"2025-11-25","iPhone 16 Pro 128GB","Apple","25590000.000000","25590000.00","25590000.00"
"2025-11-25","iPhone 13 Pro 512GB","Apple","25490000.000000","25490000.00","25490000.00"
"2025-11-25","Samsung Galaxy Z Flip7 12GB","Samsung","24990000.000000","24990000.00","24990000.00"
"2025-11-25","iPhone 17 256GB","Apple","24990000.000000","24990000.00","24990000.00"
"2025-11-25","iPhone 16 Plus 128GB","Apple","24590000.000000","24590000.00","24590000.00"
"2025-11-25","Samsung Galaxy S25 Plus 512GB","Samsung","24440000.000000","24440000.00","24440000.00"
"2025-11-25","iPhone 13 Pro Max 256GB","Apple","23990000.000000","23990000.00","23990000.00"
"2025-11-25","iPhone 15 Pro 128GB","Apple","23990000.000000","23990000.00","23990000.00"
"2025-11-25","iPhone 12 Pro Max 128GB I","Apple","23490000.000000","23490000.00","23490000.00"
"2025-11-25","Samsung Galaxy S24 Ultra 12GB","Samsung","23490000.000000","23490000.00","23490000.00"
"2025-11-25","OPPO Find X9 12GB","Oppo","22990000.000000","22990000.00","22990000.00"
"2025-11-25","Sony Xperia 1VI 12GB","Sony","22990000.000000","22990000.00","22990000.00"
