"product_name","brand","price","original_price","url","image_url"
"OPPO Find X9 12GB 256GB","Oppo","22.990.000đ","","https://cellphones.com.vnhttps://cellphones.com.vn/dien-thoai-oppo-find-x9.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/9/x9.jpg"
"iPhone Air 256GB | Chính hãng","Apple","31.190.000đ","31.990.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-air-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_air-3_2.jpg"
"Điện thoại iPhone 16 Pro Max 256GB","Apple","30.590.000đ","34.990.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-16-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png"
"iPhone 17 256GB | Chính hãng","Apple","24.990.000đ","","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-17-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_256gb-3_2.jpg"
"Samsung Galaxy S25 Ultra 12GB 256GB","Samsung","28.280.000đ","33.380.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s25-ultra_3__3.png"
"iPhone 15 128GB | Chính hãng VN/A","Apple","16.990.000đ","19.990.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-15.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1__1.png"
"iPhone 17 Pro Max 256GB | Chính hãng","Apple","37.990.000đ","","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-17-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max_3.jpg"
"Samsung Galaxy Z Flip7 12GB 256GB","Samsung","25.990.000đ","28.990.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-flip-7-1.jpg"
"Xiaomi 15T 5G 12GB 512GB","Xiaomi","14.490.000đ","14.990.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/dien-thoai-xiaomi-15t-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-5g-22.jpg"
"Xiaomi 15T Pro 5G 12GB 512GB","Xiaomi","19.490.000đ","","https://cellphones.com.vnhttps://cellphones.com.vn/dien-thoai-xiaomi-15t-pro-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-pro-5g_1.jpg"
"Xiaomi 14T Pro 12GB 512GB","Xiaomi","14.390.000đ","17.670.000đ","https://cellphones.com.vnhttps://cellphones.com.vn/xiaomi-14t-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi_14t_pro_1_.png"
"iPhone 17 Pro 512GB | Chính hãng","Apple","41.490.000đ","","https://cellphones.com.vnhttps://cellphones.com.vn/iphone-17-pro-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_pro_512gb.jpg"
